scale,case,mode,warmups,repeats,min_ms,throughput_rows_per_sec
SF1,agg_only_q1,e2e,0,2,1585.411,3785273
SF1,agg_only_q1,exec,3,2,314.52,19080551
SF1,q1_full,e2e,0,2,1662.41,3609948
SF1,q1_full,exec,3,2,299.393,20044606
SF1,q6_full,e2e,0,2,690.687,82265
SF1,q6_full,exec,3,2,44.551,1275392
SF1,scan_filter_q1,e2e,0,2,1007.24,5958078
SF1,scan_filter_q1,exec,3,2,30.346,197759671
SF1,scan_filter_q6,e2e,0,2,539.758,105269
SF1,scan_filter_q6,exec,3,2,43.908,1294069
SF1,sort_only_shipdate,e2e,0,2,2041.155,2940107
SF1,sort_only_shipdate,exec,3,2,1668.167,3597490
SF3,agg_only_q1,e2e,0,2,3700.46,4863343
SF3,agg_only_q1,exec,3,2,936.51,19216675
SF3,q1_full,e2e,0,2,3826.728,4702871
SF3,q1_full,exec,3,2,714.523,25186885
SF3,q6_full,e2e,0,2,1392.84,122874
SF3,q6_full,exec,3,2,134.747,1270113
SF3,scan_filter_q1,e2e,0,2,2562.534,7022973
SF3,scan_filter_q1,exec,3,2,91.809,196022274
SF3,scan_filter_q6,e2e,0,2,1249.449,136975
SF3,scan_filter_q6,exec,3,2,132.167,1294907
SF3,sort_only_shipdate,e2e,0,2,5892.15,3054336
SF3,sort_only_shipdate,exec,3,2,5473.737,3287810
SF5,agg_only_q1,e2e,0,2,4900.513,6121766
SF5,agg_only_q1,exec,3,2,1267.013,23677574
SF5,q1_full,e2e,0,2,5970.644,5024549
SF5,q1_full,exec,3,2,1213.613,24719408
SF5,q6_full,e2e,0,2,2050.447,139111
SF5,q6_full,exec,3,2,224.631,1269820
SF5,scan_filter_q1,e2e,0,2,4132.936,7258712
SF5,scan_filter_q1,exec,3,2,123.298,243311286
SF5,scan_filter_q6,e2e,0,2,1899.673,150152
SF5,scan_filter_q6,exec,3,2,221.946,1285181
